package_name,used_version,serverity,downloadCount
moment.js:moment,2.20.1,high,5211
axios:No_npm_name,0.19.2,high,5157
axios:No_npm_name,0.18.1,high,5125
axios:No_npm_name,0.19.2,high,5119
underscore.js:underscore,1.6.0,high,5106
axios:No_npm_name,0.21.1,high,5100
moment.js:moment,2.21.0,high,5055
moment.js:moment,2.21.0,high,5055
axios:No_npm_name,0.19.0,high,5042
underscore.js:underscore,1.8.3,high,5027
axios:No_npm_name,0.21.1,high,5009
moment.js:moment,2.29.0,high,5003
moment.js:moment,2.29.0,high,5003
chart.js:No_npm_name,2.7.3,high,4990
moment.js:moment,2.23.0,high,4968
moment.js:moment,2.23.0,high,4968
axios:No_npm_name,0.21.1,high,4953
underscore.js:underscore,1.7.0,high,4946
axios:No_npm_name,0.20.0,high,4935
moment.js:moment,2.29.1,high,4918
moment.js:moment,2.29.1,high,4918
axios:No_npm_name,0.21.1,high,4894
axios:No_npm_name,0.21.2,high,4852
moment.js:moment,2.24.0,high,4849
moment.js:moment,2.24.0,high,4849
chart.js:No_npm_name,2.8.0,high,4849
moment.js:moment,2.24.0,high,4842
moment.js:moment,2.24.0,high,4842
moment.js:moment,2.24.0,high,4797
moment.js:moment,2.24.0,high,4797
axios:No_npm_name,0.19.2,high,4789
axios:No_npm_name,0.18.0,high,4756
axios:No_npm_name,0.18.0,high,4756
moment.js:moment,2.24.0,high,4752
moment.js:moment,2.24.0,high,4752
moment.js:moment,2.22.2,high,4742
moment.js:moment,2.22.2,high,4742
axios:No_npm_name,0.16.2,high,4704
axios:No_npm_name,0.16.2,high,4704
underscore.js:underscore,1.8.3,high,4693
moment.js:moment,2.20.1,high,4680
moment.js:moment,2.20.1,high,4680
axios:No_npm_name,0.21.1,high,4676
jszip:No_npm_name,3.7.1,high,4674
axios:No_npm_name,0.19.2,high,4666
jszip:No_npm_name,3.7.1,high,4656
underscore.js:underscore,1.8.3,high,4641
moment.js:moment,2.24.0,high,4637
moment.js:moment,2.24.0,high,4637
handlebars:No_npm_name,4.0.11,high,4631
handlebars:No_npm_name,4.0.11,high,4631
handlebars:No_npm_name,4.0.11,high,4631
handlebars:No_npm_name,4.0.11,high,4631
handlebars:No_npm_name,4.0.11,high,4631
moment.js:moment,2.29.1,high,4620
moment.js:moment,2.29.1,high,4620
moment.js:moment,2.24.0,high,4592
chart.js:No_npm_name,2.8.0,high,4592
moment.js:moment,2.24.0,high,4592
axios:No_npm_name,0.19.0,high,4590
moment.js:moment,2.22.0,high,4583
moment.js:moment,2.22.0,high,4583
underscore.js:underscore,1.9.1,high,4577
moment.js:moment,2.24.0,high,4553
moment.js:moment,2.24.0,high,4553
